,Continent,ObservationDate,Province_State,Country,Confirmed,Deaths,Recovered,latitude,longitude,Total Confirmed,Total Deaths,Total Recovered,Active Cases,days_since_first,previous_Confirmed,previous_Activecases,previous_Death,previous_Recovered,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Net migration,GDP ($ per capita),Deathrate
70,Asia,2020-01-23,Xinjiang,China,2.0,0.0,0.0,35.86166,104.195397,1171.0,35.0,58.0,1264.0,0,0.0,0.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
71,Asia,2020-01-23,Yunnan,China,2.0,0.0,0.0,35.86166,104.195397,1173.0,35.0,58.0,1266.0,1,2.0,1264.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
72,Asia,2020-01-23,Zhejiang,China,27.0,0.0,0.0,35.86166,104.195397,1200.0,35.0,58.0,1293.0,2,2.0,1266.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
73,Asia,2020-01-23,Unknown,Japan,1.0,0.0,0.0,36.204824,138.252924,1201.0,35.0,58.0,1294.0,0,0.0,0.0,0.0,0.0,127463611.0,377835.0,"337,4",0,28200.0,"9,16"
74,Asia,2020-01-23,Unknown,Thailand,3.0,0.0,0.0,15.870032,100.992541,1204.0,35.0,58.0,1297.0,0,0.0,0.0,0.0,0.0,64631595.0,514000.0,"125,7",0,7400.0,"7,04"
75,Asia,2020-01-23,Unknown,South Korea,1.0,0.0,0.0,35.90775700000001,127.766922,1205.0,35.0,58.0,1298.0,0,0.0,0.0,0.0,0.0,48846823.0,98480.0,"496,0",0,17800.0,"5,85"
76,Asia,2020-01-23,Unknown,Singapore,1.0,0.0,0.0,1.352083,103.819836,1206.0,35.0,58.0,1299.0,0,0.0,0.0,0.0,0.0,4492150.0,693.0,"6482,2","11,53",23700.0,"4,28"
77,Asia,2020-01-23,Unknown,Philippines,0.0,0.0,0.0,12.879721,121.774017,1206.0,35.0,58.0,1299.0,0,0.0,0.0,0.0,0.0,89468677.0,300000.0,"298,2","-1,5",4600.0,"5,41"
78,Asia,2020-01-23,Unknown,Malaysia,0.0,0.0,0.0,4.210483999999999,101.975766,1206.0,35.0,58.0,1299.0,0,0.0,0.0,0.0,0.0,24385858.0,329750.0,"74,0",0,9000.0,"5,05"
79,Asia,2020-01-23,Unknown,Vietnam,2.0,0.0,0.0,14.058324,108.277199,1208.0,35.0,58.0,1301.0,0,0.0,0.0,0.0,0.0,84402966.0,329560.0,"256,1","-0,45",2500.0,"6,22"
80,Oceania,2020-01-23,Unknown,Australia,0.0,0.0,0.0,-25.274398,133.775136,1208.0,35.0,58.0,1301.0,0,0.0,0.0,0.0,0.0,20264082.0,7686850.0,"2,6","3,98",29000.0,"7,51"
81,America,2020-01-23,Unknown,Mexico,0.0,0.0,0.0,23.634501,-102.552784,1208.0,35.0,58.0,1301.0,0,0.0,0.0,0.0,0.0,107449525.0,1972550.0,"54,5","-4,87",9000.0,"4,74"
82,America,2020-01-23,Unknown,Brazil,0.0,0.0,0.0,-14.235004,-51.92528,1208.0,35.0,58.0,1301.0,0,0.0,0.0,0.0,0.0,188078227.0,8511965.0,"22,1","-0,03",7600.0,"6,17"
83,America,2020-01-23,Unknown,Colombia,0.0,0.0,0.0,4.570868,-74.297333,1208.0,35.0,58.0,1301.0,0,0.0,0.0,0.0,0.0,43593035.0,1138910.0,"38,3","-0,31",6300.0,"5,58"
84,Asia,2020-01-24,Hubei,China,549.0,24.0,31.0,35.86166,104.195397,1757.0,59.0,89.0,1905.0,0,0.0,0.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
85,Asia,2020-01-24,Guangdong,China,53.0,0.0,2.0,35.86166,104.195397,1810.0,59.0,91.0,1960.0,1,549.0,1905.0,24.0,31.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
86,Asia,2020-01-24,Zhejiang,China,43.0,0.0,1.0,35.86166,104.195397,1853.0,59.0,92.0,2004.0,2,53.0,1960.0,0.0,2.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
87,Asia,2020-01-24,Beijing,China,36.0,0.0,1.0,35.86166,104.195397,1889.0,59.0,93.0,2041.0,3,43.0,2004.0,0.0,1.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
88,Asia,2020-01-24,Chongqing,China,27.0,0.0,0.0,35.86166,104.195397,1916.0,59.0,93.0,2068.0,4,36.0,2041.0,0.0,1.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
89,Asia,2020-01-24,Hunan,China,24.0,0.0,0.0,35.86166,104.195397,1940.0,59.0,93.0,2092.0,5,27.0,2068.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
90,Asia,2020-01-24,Guangxi,China,23.0,0.0,0.0,35.86166,104.195397,1963.0,59.0,93.0,2115.0,6,24.0,2092.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
91,Asia,2020-01-24,Shanghai,China,20.0,0.0,1.0,35.86166,104.195397,1983.0,59.0,94.0,2136.0,7,23.0,2115.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
92,Asia,2020-01-24,Jiangxi,China,18.0,0.0,0.0,35.86166,104.195397,2001.0,59.0,94.0,2154.0,8,20.0,2136.0,0.0,1.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
93,Asia,2020-01-24,Sichuan,China,15.0,0.0,0.0,35.86166,104.195397,2016.0,59.0,94.0,2169.0,9,18.0,2154.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
94,Asia,2020-01-24,Shandong,China,15.0,0.0,0.0,35.86166,104.195397,2031.0,59.0,94.0,2184.0,10,15.0,2169.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
95,Asia,2020-01-24,Anhui,China,15.0,0.0,0.0,35.86166,104.195397,2046.0,59.0,94.0,2199.0,11,15.0,2184.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
96,Asia,2020-01-24,Fujian,China,10.0,0.0,0.0,35.86166,104.195397,2056.0,59.0,94.0,2209.0,12,15.0,2199.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
97,Asia,2020-01-24,Henan,China,9.0,0.0,0.0,35.86166,104.195397,2065.0,59.0,94.0,2218.0,13,10.0,2209.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
98,Asia,2020-01-24,Jiangsu,China,9.0,0.0,0.0,35.86166,104.195397,2074.0,59.0,94.0,2227.0,14,9.0,2218.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
99,Asia,2020-01-24,Hainan,China,8.0,0.0,0.0,35.86166,104.195397,2082.0,59.0,94.0,2235.0,15,9.0,2227.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
100,Asia,2020-01-24,Tianjin,China,8.0,0.0,0.0,35.86166,104.195397,2090.0,59.0,94.0,2243.0,16,8.0,2235.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
101,Asia,2020-01-24,Yunnan,China,5.0,0.0,0.0,35.86166,104.195397,2095.0,59.0,94.0,2248.0,17,8.0,2243.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
102,Asia,2020-01-24,Shaanxi,China,5.0,0.0,0.0,35.86166,104.195397,2100.0,59.0,94.0,2253.0,18,5.0,2248.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
103,Asia,2020-01-24,Heilongjiang,China,4.0,1.0,0.0,35.86166,104.195397,2104.0,60.0,94.0,2258.0,19,5.0,2253.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
104,Asia,2020-01-24,Liaoning,China,4.0,0.0,0.0,35.86166,104.195397,2108.0,60.0,94.0,2262.0,20,4.0,2258.0,1.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
105,Asia,2020-01-24,Guizhou,China,3.0,0.0,0.0,35.86166,104.195397,2111.0,60.0,94.0,2265.0,21,4.0,2262.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
106,Asia,2020-01-24,Jilin,China,3.0,0.0,0.0,35.86166,104.195397,2114.0,60.0,94.0,2268.0,22,3.0,2265.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
107,Asia,2020-01-24,Taiwan,Taiwan,3.0,0.0,0.0,23.69781,120.960515,2117.0,60.0,94.0,2271.0,0,0.0,0.0,0.0,0.0,23036087.0,35980.0,"640,3",0,23400.0,"6,48"
108,Asia,2020-01-24,Ningxia,China,2.0,0.0,0.0,35.86166,104.195397,2119.0,60.0,94.0,2273.0,0,0.0,0.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
109,Asia,2020-01-24,Hong Kong,Hong Kong,2.0,0.0,0.0,22.396428,114.109497,2121.0,60.0,94.0,2275.0,0,0.0,0.0,0.0,0.0,6940432.0,1092.0,"6355,7","5,24",28800.0,"6,29"
110,Asia,2020-01-24,Macau,Macao,2.0,0.0,0.0,22.198745,113.543873,2123.0,60.0,94.0,2277.0,0,0.0,0.0,0.0,0.0,453125.0,28.0,"16183,0","4,86",19400.0,"4,47"
111,Asia,2020-01-24,Hebei,China,2.0,1.0,0.0,35.86166,104.195397,2125.0,61.0,94.0,2280.0,0,0.0,0.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
112,Asia,2020-01-24,Gansu,China,2.0,0.0,0.0,35.86166,104.195397,2127.0,61.0,94.0,2282.0,1,2.0,2280.0,1.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
113,Asia,2020-01-24,Xinjiang,China,2.0,0.0,0.0,35.86166,104.195397,2129.0,61.0,94.0,2284.0,2,2.0,2282.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
114,Asia,2020-01-24,Shanxi,China,1.0,0.0,0.0,35.86166,104.195397,2130.0,61.0,94.0,2285.0,3,2.0,2284.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
115,Asia,2020-01-24,Inner Mongolia,China,1.0,0.0,0.0,35.86166,104.195397,2131.0,61.0,94.0,2286.0,4,1.0,2285.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
116,Asia,2020-01-24,Qinghai,China,0.0,0.0,0.0,35.86166,104.195397,2131.0,61.0,94.0,2286.0,5,1.0,2286.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
117,America,2020-01-24,Washington,United States,1.0,0.0,0.0,37.09024,-95.712891,2132.0,61.0,94.0,2287.0,0,0.0,0.0,0.0,0.0,298444215.0,9631420.0,"31,0","3,41",37800.0,"8,26"
118,America,2020-01-24,Chicago,United States,1.0,0.0,0.0,37.09024,-95.712891,2133.0,61.0,94.0,2288.0,1,1.0,2287.0,0.0,0.0,298444215.0,9631420.0,"31,0","3,41",37800.0,"8,26"
